team,park,attendance,year,league,teamID,rank,games,wins,losses,runs,at_bats,hits,errors,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,FP,BPF
Baltimore Orioles,Memorial Stadium,1057069,1970,AL,BAL,1,162,108,54,792,5545,1424,117,3.15,60,12,31,4434,1317,139,469,941,0.98,101
New York Yankees,Yankee Stadium I,1136879,1970,AL,NYA,2,163,93,69,680,5492,1381,130,3.24,36,6,49,4413,1386,130,451,777,0.98,95
Boston Red Sox,Fenway Park II,1595278,1970,AL,BOS,3,162,87,75,786,5535,1450,156,3.87,38,8,44,4338,1391,156,594,1003,0.97,108
Detroit Tigers,Tiger Stadium,1501293,1970,AL,DET,4,162,79,83,666,5377,1282,132,4.09,33,9,39,4341,1443,153,623,1045,0.97,101
Cleveland Indians,Cleveland Stadium,729752,1970,AL,CLE,5,162,76,86,649,5463,1358,133,3.91,34,8,35,4353,1333,163,689,1076,0.97,104
Washington Senators,R.F.K. Stadium,824789,1970,AL,WS2,6,162,70,92,626,5460,1302,116,3.8,20,11,40,4371,1375,139,611,823,0.98,95
Minnesota Twins,Metropolitan Stadium,1261887,1970,AL,MIN,1,162,98,64,744,5483,1438,123,3.23,26,12,58,4344,1329,130,486,940,0.98,103
Oakland Athletics,Oakland Coliseum,778355,1970,AL,OAK,2,162,89,73,678,5376,1338,141,3.3,33,15,40,4326,1253,134,542,858,0.97,97
California Angels,Anaheim Stadium,1077741,1970,AL,CAL,3,162,86,76,631,5532,1391,127,3.48,21,10,49,4386,1280,154,559,922,0.98,96
Kansas City Royals,Municipal Stadium II,693047,1970,AL,KCA,4,162,65,97,611,5503,1341,152,3.78,30,11,25,4389,1346,138,641,915,0.97,99
Milwaukee Brewers,County Stadium,933690,1970,AL,ML4,4,163,65,97,613,5395,1305,136,4.21,31,2,27,4338,1397,146,587,895,0.97,100
